tconst,titleType,startYear,averageRating,numVotes,Popularity,threshold
tt0014972,movie,1924,7.8,2841,4.032009014,2
tt0015002,movie,1924,7.2,1183,2.251773776,2
tt0015016,movie,1924,7.2,1840,2.922748993,2
tt0015064,movie,1924,8.1,11606,13.02693535,3
tt0015119,movie,1924,7.2,1020,2.085306561,2
tt0015136,movie,1924,7.1,1484,2.544681843,2
tt0015163,movie,1924,7.7,8506,9.803016116,2
tt0015174,movie,1924,7.9,3725,4.949307389,2
tt0015175,movie,1924,8.1,4897,6.175226468,3
tt0015202,movie,1924,7,2060,3.118439507,2
tt0015324,movie,1924,8.2,36548,38.51397768,3
tt0015361,movie,1925,7.6,6571,7.812361648,2
tt0015400,movie,1924,7.8,5233,6.474889866,2
tt0015532,movie,1926,7.8,5032,6.269614343,2
tt0015624,movie,1925,7.9,5921,7.192019074,2
tt0015648,movie,1925,8,50061,52.28542704,3
tt0015768,movie,1925,7.1,1624,2.68765982,2
tt0015772,movie,1925,6.6,1641,2.632548523,2
tt0015841,movie,1925,7.5,4754,5.942217188,2
tt0015842,movie,1925,7.2,1312,2.383517768,2
tt0015863,movie,1925,7.2,3572,4.691590815,2
tt0015864,movie,1925,8.2,93625,96.80507735,3
tt0015873,movie,1925,7.8,893,2.0425726,2
tt0015881,movie,1924,8.1,8571,9.927377075,3
tt0016004,movie,1925,7.3,934,2.011971814,2
tt0016029,movie,1935,7.1,1306,2.362895559,2
tt0016039,movie,1925,7,4396,5.504129169,2
tt0016104,movie,1925,7.3,2072,3.174178507,2
tt0016220,movie,1925,7.6,15782,17.21929122,2
tt0016230,movie,1925,6,2000,2.912217415,2
tt0016332,movie,1925,7.9,8583,9.910643167,2
tt0016473,movie,1925,7.2,1570,2.647005753,2
tt0016544,movie,1925,5.1,1378,2.146535458,1
tt0016627,movie,1926,7,1006,2.0420196,2
tt0016630,movie,1926,7,2621,3.691372684,2
tt0016641,movie,1925,7.8,6954,8.232497703,2
tt0016654,movie,1926,7.1,1610,2.673362022,2
tt0016669,movie,1926,7.3,1421,2.509330917,2
tt0016690,movie,1926,6.2,1387,2.315167297,2
tt0016847,movie,1926,8.1,13199,14.65382046,3
tt0016884,movie,1926,7.7,3794,4.990785942,2
tt0016895,movie,1926,7.4,1352,2.453357782,2
tt0017048,movie,1926,7.4,2560,3.687053463,2
tt0017075,movie,1927,7.3,9535,10.79592592,2
tt0017128,movie,1926,7.5,2313,3.449294044,2
tt0017136,movie,1927,8.3,151045,155.4609676,3
tt0017271,movie,1926,7.7,871,2.005610051,2
tt0017350,movie,1926,7.7,1453,2.599989924,2
tt0017416,movie,1926,6.6,1717,2.710165139,2
tt0017423,movie,1926,7.3,1117,2.198864454,2
tt0017448,movie,1925,7.1,1813,2.880680088,2
tt0017449,movie,1926,7,1044,2.080827908,2
tt0017463,movie,1926,7.5,964,2.071599115,2
tt0017534,movie,1927,6.5,1708,2.686479116,2
tt0017668,movie,1927,7.6,3661,4.840462283,2
tt0017739,movie,1927,7.1,2573,3.656846245,2
tt0017765,movie,1927,7.1,4116,5.232667798,2
tt0017825,movie,1927,6.2,1971,2.911589712,2
tt0017843,movie,1928,5.7,2374,3.250689122,1
tt0017925,movie,1926,8.1,75353,78.12991432,3
tt0018033,movie,1927,7.3,2847,3.965663733,2
tt0018037,movie,1927,6.5,8494,9.616825882,2
tt0018051,movie,1927,7.6,3623,4.801653975,2
tt0018054,movie,1927,7.3,1803,2.899456538,2
