Netflix,Hulu,Prime Video,Disney+,Type,Runtime,IMDb,Threshold
0,0,1,0,0,96,2.7,0
0,0,1,0,0,100,2.7,0
0,0,1,0,0,120,2.7,0
0,0,1,0,0,88,2.7,0
0,0,1,0,0,85,2.7,0
0,0,1,0,0,11,2.7,0
0,0,1,0,0,80,2.7,0
0,0,1,0,0,92,2.7,0
0,0,1,0,0,94,2.7,0
0,0,1,0,0,110,2.7,0
0,0,1,0,0,82,2.7,0
0,0,1,0,0,95,2.7,0
0,0,1,0,0,89,2.7,0
0,0,1,0,0,62,2.7,0
0,0,1,0,0,78,2.7,0
0,0,1,0,0,70,2.7,0
0,0,1,0,0,102,2.7,0
0,0,1,0,0,89,2.7,0
0,0,1,0,0,106,2.7,0
0,0,1,0,0,89,2.7,0
0,0,1,0,0,90,2.7,0
0,0,1,0,0,87,2.7,0
0,0,1,0,0,79,2.7,0
0,0,1,0,0,77,2.7,0
0,0,1,0,0,80,2.7,0
0,0,1,0,0,86,2.7,0
0,0,1,0,0,91,2.7,0
0,0,1,0,0,148,2.7,0
0,0,1,0,0,90,2.7,0
1,0,0,0,0,78,2.8,0
1,0,0,0,0,112,2.8,0
1,0,0,0,0,,2.8,0
1,0,1,0,0,120,2.8,0
1,0,1,0,0,98,2.8,0
0,1,1,0,0,75,2.8,0
0,0,1,0,0,94,2.8,0
0,0,1,0,0,88,2.8,0
0,0,1,0,0,82,2.8,0
0,0,1,0,0,88,2.8,0
0,0,1,0,0,95,2.8,0
0,0,1,0,0,92,2.8,0
0,0,1,0,0,80,2.8,0
0,0,1,0,0,160,2.8,0
0,0,1,0,0,90,2.8,0
0,0,1,0,0,80,2.8,0
0,0,1,0,0,96,2.8,0
0,0,1,0,0,95,2.8,0
0,0,1,0,0,87,2.8,0
0,0,1,0,0,89,2.8,0
0,0,1,0,0,91,2.8,0
0,0,1,0,0,80,2.8,0
0,0,1,0,0,98,2.8,0
0,0,1,0,0,78,2.8,0
0,0,1,0,0,89,2.8,0
0,0,1,0,0,95,2.8,0
0,0,1,0,0,80,2.8,0
0,0,1,0,0,84,2.8,0
0,0,1,0,0,86,2.8,0
0,0,1,0,0,105,2.8,0
0,0,1,0,0,89,2.8,0
0,0,1,0,0,90,2.8,0
0,0,1,0,0,92,2.8,0
0,0,1,0,0,100,2.8,0
0,0,1,0,0,80,2.8,0
0,0,1,0,0,41,2.8,0
0,0,1,0,0,86,2.8,0
0,0,1,0,0,,2.8,0
0,0,1,0,0,102,2.8,0
0,0,1,0,0,94,2.8,0
0,0,1,0,0,77,2.8,0
0,0,1,0,0,108,2.8,0
0,0,1,0,0,86,2.8,0
0,0,1,0,0,93,2.8,0
0,0,1,0,0,54,2.8,0
0,0,1,0,0,91,2.8,0
0,0,1,0,0,87,2.8,0
0,0,1,0,0,86,2.8,0
0,0,1,0,0,60,2.8,0
0,0,1,0,0,94,2.8,0
0,0,1,0,0,70,2.8,0
0,0,1,0,0,104,2.8,0
0,0,1,0,0,88,2.8,0
0,0,1,0,0,90,2.8,0
0,0,1,0,0,86,2.8,0
0,0,1,0,0,84,2.8,0
0,0,1,0,0,95,2.8,0
0,0,1,0,0,94,2.8,0
0,0,1,0,0,91,2.8,0
0,0,1,0,0,99,2.8,0
0,0,1,0,0,89,2.8,0
0,0,1,0,0,91,2.8,0
0,0,1,0,0,96,2.8,0
0,0,1,0,0,114,2.8,0
0,0,1,0,0,90,2.8,0
0,0,1,0,0,82,2.8,0
0,0,1,0,0,86,2.8,0
1,0,0,0,0,57,2.9,0
1,0,0,0,0,,2.9,0
1,0,0,0,0,130,2.9,0
1,0,0,0,0,112,2.9,0
1,0,0,0,0,103,2.9,0
0,0,1,0,0,99,2.9,0
0,0,1,0,0,67,2.9,0
0,0,1,0,0,95,2.9,0
0,0,1,0,0,15,2.9,0
0,0,1,0,0,108,2.9,0
0,0,1,0,0,96,2.9,0
0,0,1,0,0,85,2.9,0
0,0,1,0,0,92,2.9,0
0,0,1,0,0,86,2.9,0
0,0,1,0,0,92,2.9,0
0,0,1,0,0,89,2.9,0
0,0,1,0,0,108,2.9,0
0,0,1,0,0,91,2.9,0
0,0,1,0,0,49,2.9,0
0,0,1,0,0,88,2.9,0
0,0,1,0,0,80,2.9,0
0,0,1,0,0,96,2.9,0
0,0,1,0,0,87,2.9,0
0,0,1,0,0,99,2.9,0
0,0,1,0,0,84,2.9,0
0,0,1,0,0,91,2.9,0
0,0,1,0,0,103,2.9,0
0,0,1,0,0,80,2.9,0
0,0,1,0,0,120,2.9,0
0,0,1,0,0,83,2.9,0
0,0,1,0,0,100,2.9,0
0,0,1,0,0,94,2.9,0
0,0,1,0,0,60,2.9,0
0,0,1,0,0,120,2.9,0
0,0,1,0,0,108,2.9,0
0,0,1,0,0,60,2.9,0
0,0,1,0,0,80,2.9,0
0,0,1,0,0,85,2.9,0
0,0,1,0,0,91,2.9,0
0,0,1,0,0,95,2.9,0
0,0,1,0,0,93,2.9,0
0,0,1,0,0,82,2.9,0
0,0,1,0,0,84,2.9,0
0,0,1,0,0,90,2.9,0
0,0,1,0,0,90,2.9,0
0,0,1,0,0,113,2.9,0
0,0,1,0,0,96,2.9,0
0,0,1,0,0,65,2.9,0
0,0,1,0,0,90,2.9,0
0,0,1,0,0,82,2.9,0
0,0,1,0,0,,2.9,0
0,0,1,0,0,86,2.9,0
0,0,1,0,0,99,2.9,0
0,0,1,0,0,80,2.9,0
0,0,1,0,0,111,2.9,0
0,0,1,0,0,74,2.9,0
0,0,1,0,0,97,2.9,0
0,0,1,0,0,72,2.9,0
0,0,1,0,0,82,2.9,0
0,0,1,0,0,95,2.9,0
0,0,1,0,0,89,2.9,0
0,0,1,0,0,90,2.9,0
0,0,1,0,0,81,2.9,0
0,0,1,0,0,90,2.9,0
1,0,0,0,0,132,3,0
1,0,1,0,0,112,3,0
1,0,0,0,0,85,3,0
0,1,0,0,0,86,3,0
0,0,1,0,0,,3,0
0,0,1,0,0,78,3,0
0,0,1,0,0,95,3,0
0,0,1,0,0,91,3,0
0,0,1,0,0,89,3,0
0,0,1,0,0,81,3,0
0,0,1,0,0,80,3,0
0,0,1,0,0,81,3,0
0,0,1,0,0,88,3,0
0,0,1,0,0,85,3,0
0,0,1,0,0,79,3,0
0,0,1,0,0,94,3,0
0,0,1,0,0,110,3,0
0,0,1,0,0,92,3,0
0,0,1,0,0,90,3,0
0,0,1,0,0,100,3,0
0,0,1,0,0,80,3,0
0,0,1,0,0,70,3,0
0,0,1,0,0,85,3,0
0,0,1,0,0,75,3,0
0,0,1,0,0,72,3,0
0,0,1,0,0,85,3,0
0,0,1,0,0,95,3,0
0,0,1,0,0,89,3,0
0,0,1,0,0,90,3,0
0,0,1,0,0,88,3,0
0,0,1,0,0,90,3,0
0,0,1,0,0,91,3,0
0,0,1,0,0,85,3,0
0,0,1,0,0,,3,0
0,0,1,0,0,96,3,0
0,0,1,0,0,97,3,0
0,0,1,0,0,90,3,0
0,0,1,0,0,86,3,0
0,0,1,0,0,103,3,0
0,0,1,0,0,89,3,0
0,0,1,0,0,90,3,0
0,0,1,0,0,72,3,0
0,0,1,0,0,86,3,0
0,0,1,0,0,88,3,0
0,0,1,0,0,86,3,0
0,0,1,0,0,82,3,0
0,0,1,0,0,104,3,0
0,0,1,0,0,73,3,0
0,0,1,0,0,91,3,0
0,0,1,0,0,70,3,0
0,0,1,0,0,88,3,0
0,0,1,0,0,82,3,0
0,0,1,0,0,89,3,0
0,0,1,0,0,55,3,0
0,0,1,0,0,83,3,0
0,0,1,0,0,82,3,0
0,0,1,0,0,90,3,0
0,0,1,0,0,76,3,0
0,0,1,0,0,90,3,0
0,0,1,0,0,90,3,0
0,0,1,0,0,97,3,0
0,0,1,0,0,89,3,0
0,0,1,0,0,88,3,0
0,0,1,0,0,72,3,0
0,0,0,1,0,93,3,0
1,0,0,0,0,151,3.1,0
1,0,0,0,0,90,3.1,0
1,0,0,0,0,29,3.1,0
1,0,1,0,0,94,3.1,0
1,0,0,0,0,79,3.1,0
